Product Name,Product Link,Price,Rating,Summary Sentiment,Sentiment Score
Herb Pharm Certified Organic Passionflower Liquid Extract - 4 Fl Oz,https://www.amazon.com/Herb-Pharm-Certified-Passionflower-Occasional/dp/B0016B5TYE/ref=sr_1_11?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-11,$38.95,4.5 out of 5 stars,Highly Positive,0.8628142857142855
"Oregon's Wild Harvest Passion Flower Organic Vegan Capsules, 90 Count",https://www.amazon.com/Oregons-Wild-Harvest-Passionflower-Capsules/dp/B004OFJC10/ref=sr_1_12?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-12,$18.71,4.4 out of 5 stars,Positive,0.6912499999999999
"FullChea - Passion Flower Tea bags, 40 Teabags - Natural Passionflower Leaf Herbal Tea for Relaxation - Te De Pasiflora - Non-GMO - Caffeine-free - Support Better Sleep",https://www.amazon.com/FullChea-Passionflower-Relaxation-Pasiflora-Caffeine-free/dp/B0D2CP5J8R/ref=sr_1_13?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-13,$8.99,4.4 out of 5 stars,Highly Positive,0.7309307692307693
"Maxx Herb Passion Flower Extract - Max Strength Passion-Flower Liquid Absorbs Better Than Capsules, for Relaxation and Stress Relief, Alcohol-Free - 4 Oz Bottle (60 Servings)",https://www.amazon.com/Maxx-Herb-Passionflower-Relaxation-Alcohol-Free/dp/B07XR74G7N/ref=sr_1_14?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-14,$32.95,4.3 out of 5 stars,Positive,0.5204222222222223
Passion Flower Tea Organic Calming - Whole Leaf Dried Passionflower - Passiflora Herb for Anxiety - Maypop - Wild Passion Vile - Paciflora Te Pasiflora Tea Organic Passionflower Tea,https://www.amazon.com/Passion-Flower-Organic-Calming-Tea/dp/B07HLY74Y6/ref=sr_1_15?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-15,$14.97,4.4 out of 5 stars,Positive,0.30495384615384613
Passionflower Tincture - Passion Flower Extract for Mood Support - Alcohol and Sugar Free - Vegan Passion Flower Tincture 4 Fl.Oz.,https://www.amazon.com/BIO-KRAUTER-Passionflower-Tincture-Organic/dp/B0CJQVLQD8/ref=sr_1_16?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-16,$16.99,4.2 out of 5 stars,Positive,0.3629375
"Wild & Organic Passionflower Tincture - Alcohol Free Passion Flower Drops for Relaxation - Liquid Passionflower Supplement - Zero Sugar, Vegan - 2 fl oz",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzEzNjA2NjAzMjcxMjg3OjE3MjkxNDk2Mzk6c3BfbXRmOjMwMDM0NTkwOTI3MzEwMjo6MDo6&url=%2FPassion-Flower-Herb-Tincture-Passionflower%2Fdp%2FB0C15YJT7V%2Fref%3Dsr_1_17_sspa%3Fdib%3DeyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ%26dib_tag%3Dse%26keywords%3Dpassion%2Bflower%26qid%3D1729149639%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$12.99,4.3 out of 5 stars,Positive,0.5988874999999999
"Oregon's Wild Harvest Passion Flower Organic Vegan Capsules, 90 Count",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzEzNjA2NjAzMjcxMjg3OjE3MjkxNDk2Mzk6c3BfbXRmOjIwMDA2MjE2ODE3NDMyMTo6MDo6&url=%2FOregons-Wild-Harvest-Passionflower-Capsules%2Fdp%2FB004OFJC10%2Fref%3Dsr_1_18_sspa%3Fdib%3DeyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ%26dib_tag%3Dse%26keywords%3Dpassion%2Bflower%26qid%3D1729149639%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$18.71,4.4 out of 5 stars,Positive,0.6912499999999999
"Earthborn Elements Passion Flower Extract 200 Capsules, Pure & Undiluted, No Additives",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzEzNjA2NjAzMjcxMjg3OjE3MjkxNDk2Mzk6c3BfbXRmOjIwMDA2MzM1NzM4Njk3MTo6MDo6&url=%2FPassion-Flower-Extract-Capsules-Calmness%2Fdp%2FB093RJFBTT%2Fref%3Dsr_1_19_sspa%3Fdib%3DeyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ%26dib_tag%3Dse%26keywords%3Dpassion%2Bflower%26qid%3D1729149639%26sr%3D8-19-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$14.99,4.1 out of 5 stars,Positive,0.33180000000000004
"NusaPure Passion Flower 6000mg, 120 Veggie Caps, Non-GMO, Bioperine, Extract Supplement",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NzEzNjA2NjAzMjcxMjg3OjE3MjkxNDk2Mzk6c3BfbXRmOjMwMDEzOTg3NzY4MzkwMjo6MDo6&url=%2FNusaPure-Passion-Non-GMO-Bioperine-Supplement%2Fdp%2FB0CPTJPR1Q%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ%26dib_tag%3Dse%26keywords%3Dpassion%2Bflower%26qid%3D1729149639%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,$16.35,4.5 out of 5 stars,Mixed,-0.296
"Botanic Choice Passion Flower Liquid Extract - Alcohol-Free Herbal Supplement, Traditional Support for Relaxation - 1 Fl. Oz",https://www.amazon.com/Botanic-Choice-Passion-Alcohol-Extract/dp/B007N05VHC/ref=sr_1_21?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-21,$12.99,4.4 out of 5 stars,Positive,0.6773750000000001
"USDA Organic Passion Flower Extract Vegan Liquid Drops with High Bioavailability For Women and Men. Organic Passionflower Supplement With Zero Sugar and Gluten Free. For Calm, Relaxation Support.",https://www.amazon.com/Bioavailability-Passionflower-Supplement-Relaxation-Support/dp/B0BX7BVZVS/ref=sr_1_22?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&rdc=1&sr=8-22,$19.95,4.4 out of 5 stars,Positive,0.6187666666666667
"Nature's Answer Passion Flower| Dietary Supplement | Natural Calming Botanical | Non-GMO | Alcohol-Free, Gluten-Free, Vegetarian & Vegan 60 Capsules",https://www.amazon.com/Natures-Answer-PassionFlower-Vegetarian-Capsules/dp/B000I48M3A/ref=sr_1_23?dib=eyJ2IjoiMSJ9.7l6dSlGs-tNaYqzSSbGRqan-dwZ_Q1qxE0BkfrwVT2-SUdqZLzEY4E_HX8X-bS5wW26NetfQVfSVKrhCBgixHrzFzr--coLARiix5CLLGUshA3Hpz8gc3C3hCM4ojlaRiYE-G3N0rNJgyi7dflU0t_HJpLLCe4l4BLdbGEeb1NQAwRAW6sQchNEwwMrMpq_0CY3TLa6P1h4xqC8fNQSbNsud-DriKrMkPiZR1JXpbvP0oeN4uXpFagH_W715i-rjauIetC963urGXu0Nhb1aGeHK8zonmQdW27k4uzzUS8Y.TRqqoPYFZoNhkrprqE8t72mQNGAzayYSBepOg8AUySQ&dib_tag=se&keywords=passion+flower&qid=1729149639&sr=8-23,$14.66,4.4 out of 5 stars,Positive,0.5394
