,product_id,date_posted,review_title,review_text
0,54199,2024-03-20,,"AOR products are always high in quality... the ortho sleep will let you relax and sleep in 15 minutes... most often it will give you relaxation sleep in meditative alpha level sometimes in dreamland, and you wake up refresh no hangover as other sleeping pills..."
1,54199,2024-01-02,,"Improved sleep quality: Many users report falling asleep faster, staying asleep longer, and experiencing deeper sleep with Ortho Sleep.
Reduced stress and anxiety: The calming properties of L-theanine and lemon balm may help ease tension and promote relaxation before bed.
Enhanced mood and cognitive function: Some users mention feeling more rested and focused throughout the day after using Ortho Sleep."
2,54199,2023-01-02,,Love this product! I no longer have trouble sleeping. I’m out within 20 mins of taking the supplement. I’ve gotten other people hooked on it. I think it’s a great blend with 3mg of melatonin. All of the herbs work in harmony to help facilitate a deep sleep. 
3,54199,2023-09-30,Great Product!!!,"Have tried many natural sleeping tablets and I have found these to be the most effective for me. I take them 30mins before going to bed, which enables me to fall asleep in minutes.  Other sleeping tablets left me feeling groggy in the mornings but this brand doesn't for me. It is expensive but hey getting a good 7 hr to 8 hours sleep out weighs the cost in my opinion. I like this brand because it has the best combination of natural ingredients  that will guarantee a good night sleep.  If I'm feeling anxious I take 2 tablets but if I'm feeling ok I find that one is enough. "
4,54199,2023-09-09,Definitely helps to calm the monkey mind!,"This supplement has been part of my ""daily"" supplement routine for several years, and I plan to continue indefinitely. At bedtime, I take one of these AOR sleep pills, one 5mg melatonin pill, and half a tablet of N-acetyl cysteine. Like many working people in the world, I have a very busy life, and need to quiet my mind as I am trying to sleep. I have long observed that melatonin puts me into Delta sleep for longer, and my joints repair themselves better at night, but all of the additional ingredients in AOR sleep are definitely noticeable. One or more of the compounds has a ""stinkweed"" odor, but I don't really care! I am pleased with the research and formulation, and the price has been worth it to me. Good luck!"
5,54199,2024-06-23,Great,"This was thing is amazing, really helped me to sleep when I couldn’t "
6,54199,2024-05-19,Great!,"I had insomnia for so long, then this thing really helped me, highly recommended"
7,54199,2024-05-14,Great thing!,"It really makes me sleep, I had insomnia and couldn’t sleep and this thing worked! Highly recommended "
8,54199,2024-02-29,not for me,"I originally tried this because my acupuncturist recommended it for deeper sleep. It really seems to work for her. Unfortunately, it had the opposite effect on me. It actually kept me a awake and did nothing to help me sleep at all. AOR are normally great products. I've had some success with some of their other supplements. This one just wasn't for me. I have no doubt it will work for other people though."
9,54199,2023-06-02,,"This product is the best to help with insomnia, helps you fall asleep and re set your circadian rhythm, the ingredients are excellent quality and are a great combination of good amino acids, the size of the food capsules are small and easy to swallow "
